Peak,Model,Center (cm⁻¹),FWHM (cm⁻¹),Area,Relative Intensity
1,voigt,199.643843210619,24.012642049400096,0.012937336925125132,0.00014036239226249595
2,voigt,288.91452490719524,54.230393507452135,3.369057779172559e-06,2.6680622032090245e-08
3,voigt,418.65221100274744,15.30700539018444,0.0032196205317160556,3.137669307558809e-05
4,voigt,515.1547270168269,10.581987012254086,0.2072058221695686,0.0020567470428746685
5,voigt,518.2695085549965,15.939025185974991,0.20860481365041827,0.0020560858539063927
6,voigt,604.6234207415272,19.03124871105293,0.12904707461249643,0.001478028882525926
7,voigt,677.5347820132114,12.628650897449274,0.22865767962126046,0.0027510674836311523
8,lorentz,761.3333122311009,2.00021782462883,0.7231169091149496,0.0007373242904852073
9,lorentz,794.5455222198254,2.000157120768654,0.6919898015001167,0.0009048150651085198
10,lorentz,797.4215705450223,2.000000000099254,0.6117767495921737,0.0005705742780499402
11,gauss,761.8778234175493,8.788929425422173,2.8780628684683522,8.545398379530516e-06
12,voigt,834.5661304322695,1.6375930745269582,1.170733647664198,0.0064207344549429834
13,voigt,932.4975874479534,1.649412211066228,1.720633958006627,0.010706793333833828
14,voigt,928.9893132817677,2.871097834561321,1.1661481462380192,0.006383267078359249
15,gauss,852.5980959535284,10.486488409633386,0.1626310210138927,1.7609535617464934e-08
16,voigt,840.0003531421133,1.6375939994449444,0.9292284860322267,0.006014052526615318
17,bwf,1106.891393775653,3.9437504750777213,18639.295242878754,0.36588639440812604
18,lorentz,1422.6371449652559,93.70695412945615,8.616119372849843,0.03154941730217472
19,voigt,1549.9999671067123,9.02602883560362,1.8003070092730764,0.019948138165442802
